genre,total_views,total_videos,avg_views
Sandbox,753557299,62,12154149.983870968
Battle Royale,404327198,221,1829534.8325791855
Sports,276330747,63,4386202.333333333
MOBA,217198239,65,3341511.369230769
FPS,99914266,49,2039066.6530612244
RPG,85978449,57,1508393.8421052631
Simulation,84674784,56,1512049.7142857143
Racing,50766915,46,1103628.5869565217
Casual/Party,30726570,19,1617187.894736842
Horror,21198390,50,423967.8
Strategy,11699518,42,278559.95238095237
